STATUS | wrapper  | 2016/12/22 16:32:17 | <-- Wrapper Stopped
STATUS | wrapperm | 2016/12/22 16:32:19 | Order print service service removed.
STATUS | wrapperm | 2016/12/22 16:34:22 | Order print service service installed.
STATUS | wrapper  | 2016/12/22 16:34:22 | --> Wrapper Started as Service
STATUS | wrapper  | 2016/12/22 16:34:22 | Java Service Wrapper Community Edition 32-bit 3.5.30
STATUS | wrapper  | 2016/12/22 16:34:22 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2016/12/22 16:34:22 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2016/12/22 16:34:22 | 
WARN   | wrapper  | 2016/12/22 16:34:23 | ---------------------------------------------------------------------
WARN   | wrapper  | 2016/12/22 16:34:23 | The JVM is being launched with a debugger enabled and could possibly
WARN   | wrapper  | 2016/12/22 16:34:23 | be suspended.  To avoid unwanted shutdowns, timeouts will be
WARN   | wrapper  | 2016/12/22 16:34:23 | disabled, removing the ability to detect and restart frozen JVMs.
WARN   | wrapper  | 2016/12/22 16:34:23 | ---------------------------------------------------------------------
STATUS | wrapper  | 2016/12/22 16:34:23 | Launching a JVM...
INFO   | jvm 1    | 2016/12/22 16:34:23 | Listening for transport dt_socket at address: 8001
INFO   | jvm 1    | 2016/12/22 16:34:23 | WrapperManager: Initializing...
INFO   | jvm 1    | 2016/12/22 16:34:23 | WrapperSimpleApp Error: Unable to locate the class com.control.Main : java.lang.ClassNotFoundException: com.control.Main
INFO   | jvm 1    | 2016/12/22 16:34:23 | 
INFO   | jvm 1    | 2016/12/22 16:34:23 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2016/12/22 16:34:23 | WrapperManager Error: Error in WrapperListener.start callback.  java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2016/12/22 16:34:23 | WrapperManager Error: java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2016/12/22 16:34:23 | WrapperManager Error: 	at java.text.MessageFormat.makeFormat(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:34:23 | WrapperManager Error: 	at java.text.MessageFormat.applyPattern(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:34:23 | WrapperManager Error: 	at java.text.MessageFormat.<init>(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:34:23 | WrapperManager Error: 	at java.text.MessageFormat.format(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:34:23 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperResources.getString(WrapperResources.java:194)
INFO   | jvm 1    | 2016/12/22 16:34:23 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.showUsage(WrapperSimpleApp.java:597)
INFO   | jvm 1    | 2016/12/22 16:34:23 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.start(WrapperSimpleApp.java:441)
INFO   | jvm 1    | 2016/12/22 16:34:23 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperManager$11.run(WrapperManager.java:4253)
INFO   | jvm 1    | 2016/12/22 16:34:23 | WrapperManager Error: Caused by: java.lang.NumberFormatException: For input string: "app_class{/app_method}"
INFO   | jvm 1    | 2016/12/22 16:34:23 | WrapperManager Error: 	at java.lang.NumberFormatException.forInputString(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:34:23 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:34:23 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:34:23 | WrapperManager Error: 	... 8 more
